"Core version", "Core Version"
"Use specific version for older IE", "Spezielle Version für alte IE verwenden"
"Use noconflict mode", "NoConflict Modus verwenden"
"Use minified version", "Komprimierte Dateien verwenden"
"jquery_core_hint", "Version für den jQuery Core auswählen."
"Migrate version", "Version für Migrationstool"
"jquery_core_oldie_hint", "Eine andere Version für alte IE verwenden (vor IE9). Wenn die oben gewählte Core Version bereits alte IE unterstüzt (jQuery 1.x) ist diese Option ohne Auswirkungen."
"use_noconflict_hint", "Den NOCONFLICT Modus für jQuery verwenden"
"use_minified_hint", "Komprimierte Dateien verwenden, wenn verfügbar."
"jquery_migrate_hint", "Das jQuery Migrationstool hinzufügen um Funktionen ältere Versionen von jQuery zu unterstützen. Das Migrationstool kann nur mit jQuery Version ab 1.9 verwendet werden."
"Don't use jQuery", "jQuery nicht verwenden"
"Latest", "Neueste"
"Latest 1.x", "Neueste 1.x (unterstützt alte IE)"
"Yes", "Ja"
"No", "Nein"
"Yes, but not in DEV mode", "Ja, aber nicht im Entwicklungsmodus"
"Don't use the migrate tool", "Das Migrationstool nicht verwenden"
